Clay %,Sand %,Silt %,Classification
0,100,0,1
0,95,5,1
0,90,10,1
0,85,15,2
0,80,20,2
0,75,25,2
0,70,30,2
0,65,35,3
0,60,40,3
0,55,45,3
0,50,50,3
0,45,55,4
0,40,60,4
0,35,65,4
0,30,70,4
0,25,75,4
0,20,80,4
0,15,85,5
0,10,90,5
0,5,95,5
0,0,100,5
5,95,0,1
5,90,5,1
5,85,10,2
5,80,15,2
5,75,20,2
5,70,25,3
5,65,30,3
5,60,35,3
5,55,40,3
5,50,45,3
5,45,50,3
5,40,55,4
5,35,60,4
5,30,65,4
5,25,70,4
5,20,75,4
5,15,80,4
5,10,85,5
5,5,90,5
5,0,95,5
10,90,0,2
10,85,5,2
10,80,10,2
10,75,15,3
10,70,20,3
10,65,25,3
10,60,30,3
10,55,35,3
10,50,40,6
10,45,45,6
10,40,50,6
10,35,55,4
10,30,60,4
10,25,65,4
10,20,70,4
10,15,75,4
10,10,80,4
10,5,85,5
10,0,90,5
15,85,0,3
15,80,5,3
15,75,10,3
15,70,15,3
15,65,20,3
15,60,25,3
15,55,30,3
15,50,35,6
15,45,40,6
15,40,45,6
15,35,50,6
15,30,55,4
15,25,60,4
15,20,65,4
15,15,70,4
15,10,75,4
15,5,80,4
15,0,85,4
20,80,0,7
20,75,5,7
20,70,10,7
20,65,15,7
20,60,20,7
20,55,25,7
20,50,30,6
20,45,35,6
20,40,40,6
20,35,45,6
20,30,50,6
20,25,55,4
20,20,60,4
20,15,65,4
20,10,70,4
20,5,75,4
20,0,80,4
25,75,0,7
25,70,5,7
25,65,10,7
25,60,15,7
25,55,20,7
25,50,25,7
25,45,30,6
25,40,35,6
25,35,40,6
25,30,45,6
25,25,50,6
25,20,55,4
25,15,60,4
25,10,65,4
25,5,70,4
25,0,75,4
30,70,0,7
30,65,5,7
30,60,10,7
30,55,15,7
30,50,20,7
30,45,25,7
30,40,30,8
30,35,35,8
30,30,40,8
30,25,45,8
30,20,50,8
30,15,55,9
30,10,60,9
30,5,65,9
30,0,70,9
35,65,0,10
35,60,5,10
35,55,10,10
35,50,15,10
35,45,20,10
35,40,25,8
35,35,30,8
35,30,35,8
35,25,40,8
35,20,45,8
35,15,50,9
35,10,55,9
35,5,60,9
35,0,65,9
40,60,0,10
40,55,5,10
40,50,10,10
40,45,15,10
40,40,20,8
40,35,25,8
40,30,30,8
40,25,35,8
40,20,40,8
40,15,45,11
40,10,50,11
40,5,55,11
40,0,60,11
45,55,0,10
45,50,5,10
45,45,10,10
45,40,15,12
45,35,20,12
45,30,25,12
45,25,30,12
45,20,35,12
45,15,40,12
45,10,45,11
45,5,50,11
45,0,55,11
50,50,0,10
50,45,5,10
50,40,10,12
50,35,15,12
50,30,20,12
50,25,25,12
50,20,30,12
50,15,35,12
50,10,40,12
50,5,45,11
50,0,50,11
55,45,0,10
55,40,5,12
55,35,10,12
55,30,15,12
55,25,20,12
55,20,25,12
55,15,30,12
55,10,35,12
55,5,40,12
55,0,45,11
60,40,0,12
60,35,5,12
60,30,10,12
60,25,15,12
60,20,20,12
60,15,25,12
60,10,30,12
60,5,35,12
60,0,40,11
65,35,0,12
65,30,5,12
65,25,10,12
65,20,15,12
65,15,20,12
65,10,25,12
65,5,30,12
65,0,35,12
70,30,0,12
70,25,5,12
70,20,10,12
70,15,15,12
70,10,20,12
70,5,25,12
70,0,30,12
75,25,0,12
75,20,5,12
75,15,10,12
75,10,15,12
75,5,20,12
75,0,25,12
80,20,0,12
80,15,5,12
80,10,10,12
80,5,15,12
80,0,20,12
85,15,0,12
85,10,5,12
85,5,10,12
85,0,15,12
90,10,0,12
90,5,5,12
90,0,10,12
95,5,0,12
95,0,5,12
100,0,0,12
